Radius = 200.0, radius = 30.0
R_hit = 200.0, Gamma = -0.8814138876907225, Beta = -1.3962634015954636
R_hit = 200.0, Gamma = -1.0471975511965976, Beta = -1.5707963267948966
R_hit = 200.0, Gamma = -2.9933075134710334, Beta = 2.7743110303329845
R_hit = 200.0, Gamma = 3.141592653589793, Beta = 2.616008860038183
R_hit = 200.0, Gamma = 1.1779841679282428, Beta = 0.6614047655904697
R_hit = 200.0, Gamma = 1.0471975511965983, Beta = 0.5231191206031539
R_hit = 200.0, Gamma = -0.9339094578520667, Beta = -1.449968322877347
R_hit = 200.0, Gamma = -1.047197551196596, Beta = -1.5720314891365068
R_hit = 200.0, Gamma = -3.045803083632376, Beta = 2.7210537361334133
R_hit = 200.0, Gamma = -3.1415926535897905, Beta = 2.6171370930086058
R_hit = 200.0, Gamma = 1.1254885977669011, Beta = 0.6092995235520952
R_hit = 200.0, Gamma = 1.0471975511966014, Beta = 0.522551994363604
R_hit = 200.0, Gamma = -0.9864050280134083, Beta = -1.5026662520770446
R_hit = 200.0, Gamma = -1.0471975511965934, Beta = -1.571747829763072
R_hit = 200.0, Gamma = -3.0982986537937176, Beta = 2.6686627516253356
R_hit = 200.0, Gamma = -3.141592653589788, Beta = 2.616994563900639
R_hit = 200.0, Gamma = 1.0729930276055604, Beta = 0.5567498148733022
R_hit = 200.0, Gamma = 1.047197551196605, Beta = 0.5226234454376399
R_hit = 200.0, Gamma = -1.047197551196588, Beta = -1.5717836902302829
R_hit = 200.0, Gamma = -1.0389005981747474, Beta = -1.5551338204193048
R_hit = 200.0, Gamma = -3.1415926535897807, Beta = 2.61701255141677
R_hit = 200.0, Gamma = 3.1323910832245314, Beta = 2.6161526920965454
R_hit = 200.0, Gamma = 1.047197551196613, Beta = 0.5226144203211374
R_hit = 200.0, Gamma = 1.0204974574442245, Beta = 0.5042617405080948
R_hit = 200.0, Gamma = -1.04719755119658, Beta = -1.57177916259918
R_hit = 200.0, Gamma = -1.0913961683360829, Beta = -1.6076332688250365
R_hit = 200.0, Gamma = -3.1415926535897727, Beta = 2.617010279873248
R_hit = 200.0, Gamma = 3.079895513063196, Beta = 2.5636591283798977
R_hit = 200.0, Gamma = 1.0471975511966218, Beta = 0.5226155599282012
R_hit = 200.0, Gamma = 0.968001887282889, Beta = 0.4517651322631373
R_hit = 200.0, Gamma = -1.0471975511965694, Beta = -1.5717797343373674
R_hit = 200.0, Gamma = -1.1438917384974183, Beta = -1.6601283019166055
R_hit = 200.0, Gamma = -3.1415926535897603, Beta = 2.617010566710305
R_hit = 200.0, Gamma = 3.0273999429018605, Beta = 2.511163280354367
R_hit = 200.0, Gamma = 1.0471975511966352, Beta = 0.5226154160233797
R_hit = 200.0, Gamma = 0.9155063171215536, Beta = 0.3992697058600075
R_hit = 200.0, Gamma = -1.047197551196556, Beta = -1.571779662141117
R_hit = 200.0, Gamma = -1.1963873086587538, Beta = -1.7126239464540751
R_hit = 200.0, Gamma = -3.141592653589747, Beta = 2.617010530489888
R_hit = 200.0, Gamma = 2.974904372740525, Beta = 2.45866774867293
R_hit = 200.0, Gamma = 1.0471975511966494, Beta = 0.5226154341949742
R_hit = 200.0, Gamma = 0.8630107469602182, Beta = 0.3467741157903272
R_hit = 200.0, Gamma = -1.0471975511965401, Beta = -1.5717796712576857
R_hit = 200.0, Gamma = -1.2488828788200892, Beta = -1.7651195063154306
R_hit = 200.0, Gamma = -3.141592653589729, Beta = 2.6170105350636303
R_hit = 200.0, Gamma = -2.0943951023931957, Beta = -1.5707963267948966
R_hit = 200.0, Gamma = -1.9111129155002047, Beta = -1.3962634015954636
R_hit = 200.0, Gamma = -6.661338147750939e-16, Beta = 0.5255837935516098
R_hit = 200.0, Gamma = 0.20078071028010647, Beta = 0.7170122759745482
R_hit = 200.0, Gamma = 2.094395102393194, Beta = 2.6184735329866387
R_hit = 200.0, Gamma = 2.312674336060418, Beta = 2.828911331870385
R_hit = 200.0, Gamma = -2.0943951023931975, Beta = -1.5695611644532959
R_hit = 200.0, Gamma = -1.8586173453388568, Beta = -1.3423809135389475
R_hit = 200.0, Gamma = -2.4424906541753444e-15, Beta = 0.5244555605811778
R_hit = 200.0, Gamma = 0.2532762804414549, Beta = 0.7695130110626095
R_hit = 200.0, Gamma = 2.094395102393192, Beta = 2.6190406592261617
R_hit = 200.0, Gamma = 2.3651699062217664, Beta = 2.8814064822639804
R_hit = 200.0, Gamma = -2.0943951023931993, Beta = -1.569844823826741
R_hit = 200.0, Gamma = -1.8061217751775085, Beta = -1.2898851191607812
R_hit = 200.0, Gamma = -4.218847493575595e-15, Beta = 0.5245980896891336
R_hit = 200.0, Gamma = 0.30577185060280365, Beta = 0.822008465243144
R_hit = 200.0, Gamma = 2.0943951023931904, Beta = 2.6189692081521674
R_hit = 200.0, Gamma = 2.417665476383116, Beta = 2.933902112430346
